Delitos Comuna de Coquimbo	2012	2013	2014	2015	2016
Total DMCS	 3.417,9    	 3.171,1    	 3.371,6    	 3.089,5    	 3.182,0    
					
Robo con violencia o intimidación	 249,0    	 236,0    	 286,8    	 298,3    	 304,1    
Robo por sorpresa	 147,1    	 146,8    	 149,9    	 152,6    	 149,3    
Robo de vehículo motorizado	 123,4    	 85,2    	 96,2    	 136,3    	 116,9    
Robo de objeto de o desde vehículo	 304,6    	 319,4    	 448,1    	 353,6    	 412,6    
Robo en lugar habitado	 628,3    	 615,6    	 652,2    	 576,1    	 599,7    
Robo en lugar no habitado	 282,7    	 244,0    	 264,9    	 276,9    	 284,3    
Otros robos con fuerza	 20,9    	 20,1    	 14,4    	 15,0    	 24,8    
Hurtos	 977,1    	 871,2    	 902,2    	 793,4    	 767,5    
Lesiones menos graves, graves o gravísimas	 135,2    	 111,5    	 97,9    	 101,2    	 99,3    
Lesiones leves	 534,5    	 507,6    	 446,3    	 373,3    	 406,3    
Homicidios	 0,9    	 1,3    	 1,3    	 3,0    	 2,9    
Violaciones	 14,1    	 12,5    	 11,4    	 9,9    	 14,3    
					
VIF	 856,9    	 756,5    	 809,1    	 719,2    	 744,4    
