Delitos Comuna de La Serena	2012	2013	2014	2015	2016
Total DMCS	 3.546,6    	 3.686,6    	 3.621,6    	 3.424,2    	 3.423,2    
					
Robo con violencia o intimidación	 218,1    	 218,7    	 286,4    	 265,0    	 221,2    
Robo por sorpresa	 100,6    	 110,9    	 150,0    	 179,7    	 160,5    
Robo de vehículo motorizado	 115,7    	 126,1    	 153,4    	 219,8    	 184,8    
Robo de objeto de o desde vehículo	 276,9    	 329,6    	 303,8    	 315,4    	 365,0    
Robo en lugar habitado	 559,7    	 591,6    	 599,0    	 595,0    	 524,3    
Robo en lugar no habitado	 221,3    	 269,1    	 275,1    	 264,2    	 359,1    
Otros robos con fuerza	 21,4    	 36,5    	 47,1    	 43,1    	 49,3    
Hurtos	 1.450,4    	 1.499,0    	 1.348,3    	 1.127,2    	 1.137,2    
Lesiones menos graves, graves o gravísimas	 112,9    	 81,5    	 88,1    	 75,5    	 69,0    
Lesiones leves	 448,6    	 412,5    	 358,3    	 326,5    	 334,5    
Homicidios	 1,8    	 1,3    	 0,9    	 2,1    	 0,4    
Violaciones	 19,1    	 9,8    	 11,3    	 10,7    	 18,0    
					
VIF	 566,5    	 587,6    	 580,6    	 482,3    	 568,2    
