Región	Número de Región	Comuna	Establecimiento	Teléfono	Pertenecencia	Dirección
De Coquimbo	IV	Andacollo	Hospital Dr. José Arraño (Andacollo)	512331096	Perteneciente	Calle Urmeneta 2
De Coquimbo	IV	Canela	Centro de Salud Familiar Canela	532540007	Perteneciente	Calle Joel Muñoz 495
De Coquimbo	IV	Canela	Posta de Salud Rural Mincha Norte		Perteneciente	
De Coquimbo	IV	Canela	Posta de Salud Rural Agua Fría		Perteneciente	
De Coquimbo	IV	Canela	Posta de Salud Rural Canela Alta		Perteneciente	
De Coquimbo	IV	Canela	Posta de Salud Rural Los Rulos		Perteneciente	
De Coquimbo	IV	Canela	Posta de Salud Rural Huentelauquén		Perteneciente	
De Coquimbo	IV	Canela	Posta de Salud Rural Espíritu Santo		Perteneciente	
De Coquimbo	IV	Canela	Posta de Salud Rural Mincha Sur		Perteneciente	
De Coquimbo	IV	Canela	Posta de Salud Rural Jabonería		Perteneciente	
De Coquimbo	IV	Canela	Posta de Salud Rural Quebrada Linares		Perteneciente	
De Coquimbo	IV	Canela	SAPU Canela	532540345	Perteneciente	Calle Joel Muñoz 495
De Coquimbo	IV	Combarbalá	Posta de Salud Rural El Durazno(Combarbalá)		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural Barrancas		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural Cogotí 18		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural El Huacho		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural El Sauce (Combarbalá)		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural Quilitapia		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural La Ligua		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural Ramadilla		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural Valle Hermoso		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural Manquehua		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural San Lorenzo (Combarbalá)		Perteneciente	
De Coquimbo	IV	Combarbalá	Posta de Salud Rural San Marcos (Combarbalá)		Perteneciente	
De Coquimbo	IV	Combarbalá	Hospital San Juan de Dios (Combarbalá)	532663464	Perteneciente	Calle Comercio 650
De Coquimbo	IV	Coquimbo	Hospital San Pablo (Coquimbo)	512336715	Perteneciente	
De Coquimbo	IV	Coquimbo	Centro de Salud Estudiantil - Universidad Católica del Norte	512205982	No Perteneciente	Calle Larrondo 1281
De Coquimbo	IV	Coquimbo	Centro Comunitario de Salud Familiar Punta Mira	513333110	Perteneciente	Calle Dr. Ramón Gorroño León 2840
De Coquimbo	IV	Coquimbo	Policlínico de la Asociación Chilena de Seguridad Coquimbo		No Perteneciente	Calle Profesor Zepeda 2
De Coquimbo	IV	Coquimbo	SAPU Tierras Blancas II	512336032	Perteneciente	
